"programme","gender","ht"
"Prep","F",59.5871683712026
"Core","F",55.9179816628801
"Core","F",60.1353612644052
"Pre-prep","F",57.551606210783
"Core","F",55.5289211380547
"Pre-prep","F",66.0823240151161
"Core","F",56.4311142303211
"Prep","F",63.1870250062801
"Core","F",64.3281034864536
"Pre-prep","F",63.7357266720379
"Prep","F",56.9777426244808
"Pre-prep","F",56.3762426044256
"Prep","F",58.5242104796064
"Prep","F",61.8008377052966
"Core","F",68.7542408306367
"Core","F",62.6685498942887
"Pre-prep","F",54.3389316451205
"Core","F",55.2925557926084
"Pre-prep","F",63.5451668883823
"Core","F",48.5223331420287
"Prep","F",61.7659050841741
"Pre-prep","F",72.1557943194645
"Pre-prep","F",59.1548197400508
"Core","F",53.2135121770518
"Pre-prep","F",57.3658946390918
"Core","F",62.1340579614314
"Pre-prep","F",55.864846773901
"Prep","F",58.7641788797672
"Core","F",51.0031781464381
"Core","F",62.1896729070893
"Core","F",64.8601565159213
"Prep","F",56.6053329825383
"Prep","F",58.6251071650451
"Core","F",67.7689835522751
"Prep","F",62.6099188263145
"Core","F",57.1532418872592
"Pre-prep","F",58.5468503575731
"Prep","F",66.4422362020179
"Core","F",65.6952557406445
"Pre-prep","F",65.0892202623529
"Core","F",71.363790614471
"Core","F",56.0680587389387
"Pre-prep","F",54.5945467278299
"Core","F",61.0195856632366
"Core","F",61.8041801170082
"Pre-prep","F",69.9607989819899
"Core","F",65.5156771140769
"Core","F",50.3891926283287
"Core","F",61.5762571965115
"Pre-prep","F",57.7707641876492
"Core","F",60.1587907483507
"Core","F",62.9584809691923
"Core","F",56.0783622824867
"Prep","F",58.3497065448335
"Prep","F",54.4438109402494
"Core","F",61.5714446400031
"Prep","F",53.8846268072179
"Prep","F",57.2101763296249
"Prep","F",57.5234177292061
"Prep","F",58.379655165837
"Core","F",66.9635604377884
"Core","F",54.2701865507462
"Pre-prep","F",58.6959588439682
"Core","F",65.5702123145797
"Pre-prep","F",63.7936851487783
"Pre-prep","F",57.7698062968961
"Core","F",64.4207697479201
"Pre-prep","F",61.7086419449263
"Core","F",54.7897007377689
"Prep","F",66.3593817519526
"Core","F",59.2757240940881
"Prep","F",59.9092435251968
"Core","F",54.0404978602884
"Pre-prep","F",60.1379452038915
"Core","F",54.4288675168335
"Prep","F",67.114658360158
"Pre-prep","F",63.1213673971552
"Core","F",63.4631334641043
"Pre-prep","F",69.1729488503758
"Prep","F",50.6205481723839
"Core","F",55.5757441651681
"Pre-prep","F",60.6337681375007
"Core","F",59.7396820335934
"Pre-prep","F",64.8913841851184
"Prep","F",62.162925968259
"Pre-prep","F",66.8451899048116
"Prep","F",61.3499373698002
"Core","F",60.3498348586799
"Pre-prep","F",61.7942005102894
"Prep","F",53.5174587354489
"Pre-prep","F",69.5808243960094
"Pre-prep","F",68.9222065559958
"Core","F",55.6427853381693
"Core","F",64.6089476427507
"Prep","F",61.9852496819762
"Core","F",60.6578177606259
"Core","F",59.2474278133038
"Core","F",61.5179938949046
"Pre-prep","F",50.6582965456275
"Core","F",54.7943517692324
"Core","F",64.5998560512603
"Prep","F",65.1070858492687
"Core","F",57.3580252214187
"Core","F",61.9624492338812
"Prep","F",72.007308931351
"Core","F",69.6582417320889
"Pre-prep","F",66.4955439985845
"Core","F",57.274867531914
"Core","F",58.4913557855473
"Core","F",69.1310817824079
"Prep","F",58.7337030384089
"Pre-prep","F",60.5127251660375
"Pre-prep","F",63.5157325845608
"Pre-prep","F",59.045297350957
"Core","F",65.5758320189867
"Core","F",55.1206106917882
"Pre-prep","F",58.0187473712697
"Prep","F",59.2530841706324
"Core","F",58.4442122571024
"Core","F",62.0032102096949
"Core","F",59.1777713906723
"Pre-prep","F",60.6032963115795
"Pre-prep","F",55.5910990104308
"Prep","F",66.7151372578686
"Core","F",62.7507221151982
"Core","F",67.6446335799463
"Prep","F",61.2328819707559
"Core","F",66.34612987727
"Pre-prep","F",57.3065027248533
"Prep","F",59.8400705459022
"Core","F",64.5951422801935
"Prep","F",55.0336989480962
"Pre-prep","F",61.7863030899107
"Core","F",61.1939168879322
"Prep","F",54.9525009419671
"Prep","F",61.6687786825508
"Core","F",62.0794218057959
"Pre-prep","F",54.4955911283274
"Prep","F",57.056108509815
"Core","F",59.9066317852826
"Core","F",59.5997665261103
"Pre-prep","F",60.9984603325653
"Core","F",58.744586325641
"Prep","F",62.0579004542467
"Core","F",61.4207203331425
"Core","F",51.163835169363
"Prep","F",60.1897406988015
"Core","F",62.7458896387126
"Core","F",58.3088626917937
"Core","F",64.4994569716012
"Core","F",53.1907138148752
"Prep","F",62.8733830197913
"Core","F",60.6745179327125
"Pre-prep","F",58.2000974093045
"Core","F",62.2634433475675
"Prep","F",53.1711819365117
"Prep","F",64.7835975109263
"Prep","F",48.0032736147047
"Core","F",63.0227628245211
"Core","F",47.819344917368
"Prep","F",63.8074754399022
"Core","F",56.9155797698802
"Core","F",62.0890803843006
"Prep","F",59.8617044024911
"Core","F",56.962244920737
"Pre-prep","F",59.4968268010419
"Prep","F",67.3525844855649
"Core","F",61.6307301399096
"Prep","F",60.9023227792276
"Pre-prep","F",55.4176070048893
"Pre-prep","F",63.8780982977139
"Core","F",59.6171389618575
"Prep","F",58.3610594125017
"Pre-prep","F",57.2138973242486
"Core","F",68.5033355766995
"Core","F",59.5363922893875
"Core","F",61.2214313473744
"Prep","F",68.9751080090706
"Pre-prep","F",63.3648530457752
"Pre-prep","F",57.1475771261917
"Core","F",58.7672065844728
"Core","F",60.8791166982185
"Pre-prep","F",55.3378423777464
"Prep","F",66.2176332407671
"Core","F",62.8119332020896
"Prep","F",71.7243671960786
"Prep","F",64.7669463301435
"Prep","F",55.4463883397568
"Core","F",57.0473897707367
"Prep","F",61.8480229191834
"Core","F",55.5652197374351
"Pre-prep","F",59.1263377557536
"Core","F",61.0701612048459
"Prep","F",62.9554017099862
"Prep","F",57.4228677536684
"Pre-prep","F",59.6911710489913
"Core","F",68.0202130452478
"Core","F",54.8100313416654
"Pre-prep","F",53.6719819364805
"Prep","F",62.0178062110268
"Core","F",59.1712428542707
"Pre-prep","F",64.1764188962844
"Prep","F",55.9088192715724
"Core","F",54.3015839061284
"Prep","F",60.6725967678121
"Prep","F",56.3685938602708
"Pre-prep","F",54.8588216977636
"Pre-prep","F",59.0785188575844
"Core","F",49.6341145814191
"Core","F",67.1135910697959
"Core","F",63.9969131178088
"Prep","F",56.9473953073036
"Core","F",55.5074607185728
"Pre-prep","F",55.6691830682078
"Pre-prep","F",58.8057190852445
"Pre-prep","F",63.1818493169394
"Core","F",61.4987243736196
"Core","F",60.9272711112213
"Prep","F",60.2942345537647
"Pre-prep","F",62.8326394263764
"Core","F",65.5488492854271
"Pre-prep","F",57.8272657605948
"Prep","F",58.6735214241909
"Prep","F",57.2775771297521
"Core","F",56.6037643006684
"Prep","F",61.1864424563507
"Core","F",61.6573750056033
"Core","F",57.3009072630802
"Core","F",63.3505113760571
"Prep","F",65.5994460625438
"Pre-prep","F",59.7852826850484
"Core","F",64.040157629214
"Prep","F",57.0031301553619
"Prep","F",66.3486046001373
"Core","F",59.0002269726477
"Core","F",61.6075643722937
"Core","F",59.4996722856193
"Core","F",50.2460904057855
"Prep","F",61.4357122741264
"Prep","F",56.5413191033003
"Core","F",65.3623741702831
"Pre-prep","F",53.3582871948926
"Prep","F",61.185745220308
"Pre-prep","F",59.4454062477185
"Pre-prep","F",52.8557487208051
"Core","F",57.9864926602828
"Core","F",77.4706327321649
"Prep","F",61.9877298573922
"Prep","F",59.3563981753751
"Core","F",67.4731693211522
"Prep","F",59.8195070617916
"Prep","F",62.8324730156542
"Core","F",60.6953766177514
"Pre-prep","F",62.8552303951014
"Pre-prep","F",60.9638146723152
"Core","F",64.5908517440769
"Core","F",69.4678137362639
"Prep","F",59.1455605231733
"Core","F",54.0297704126023
"Pre-prep","F",63.3242886416431
"Core","F",58.7290539790207
"Pre-prep","F",58.6265640454911
"Prep","F",55.055120382054
"Core","F",68.2002220894709
"Core","F",56.189656736784
"Core","F",57.9737425038932
"Core","F",62.1918164857894
"Pre-prep","F",57.9787451593445
"Prep","F",54.8843324727364
"Prep","F",58.5390729919739
"Prep","F",54.1235421284328
"Core","F",61.5650570136517
"Core","F",58.9358850037399
"Pre-prep","F",53.5661335228338
"Prep","F",61.95032671643
"Prep","F",59.4806146455307
"Core","F",60.7627475897931
"Prep","F",65.7891760895009
"Prep","F",60.7935548493784
"Prep","F",66.7307130261114
"Prep","F",62.3275670935563
"Core","F",62.8652181793118
"Core","F",66.7327560157738
"Prep","F",58.240289936181
"Core","F",68.1886454832478
"Pre-prep","F",51.8506750523634
"Pre-prep","F",60.5334558758204
"Core","F",59.3528665549232
"Core","F",59.7631295377774
"Core","F",63.9456830890895
"Prep","F",54.5555114543507
"Prep","F",63.6399043749884
"Pre-prep","F",69.7477708620668
"Prep","F",59.9440433522266
"Prep","F",52.0777899179187
"Core","F",55.2194728038937
"Prep","F",60.2158990086177
"Prep","F",60.6139283220838
"Core","F",54.6961757631991
"Prep","F",54.0056793614401
"Pre-prep","F",63.4659835360148
"Core","F",53.105903488388
"Core","F",61.6303978464997
"Prep","F",63.4428302840181
"Core","F",51.2912489465256
"Core","F",55.8555214580142
"Core","F",54.740233297466
"Core","F",55.6097683354
"Pre-prep","F",52.3432785545053
"Prep","F",73.2778433368317
"Pre-prep","F",50.9969325389042
"Core","F",63.2688920374317
"Core","F",59.3260361642149
"Core","F",61.0883610852082
"Prep","F",53.2448499310004
"Core","F",54.41920943189
"Pre-prep","F",57.1027565645766
"Prep","F",59.9374792448675
"Pre-prep","F",70.3148093039596
"Prep","F",66.6112053745382
"Prep","F",55.1098974311007
"Core","F",53.9905329946707
"Core","F",63.7061021348167
"Core","F",69.5708349476114
"Pre-prep","F",58.988077421321
"Core","F",55.1239056291871
"Pre-prep","F",64.0022643972066
"Pre-prep","F",51.6029173809685
"Pre-prep","F",57.9529145485116
"Core","F",55.2795760048331
"Core","F",59.7605299431443
"Pre-prep","F",64.0516565653974
"Core","F",58.2862360626588
"Pre-prep","F",61.7728425313406
"Core","F",65.0647058625623
"Core","F",55.4765351015383
"Prep","F",63.5976923498743
"Prep","F",59.2413620559834
"Core","F",50.7977020536448
"Pre-prep","F",52.4611655279572
"Prep","F",56.9527083919612
"Pre-prep","F",60.5011005899327
"Core","F",62.3651862083217
"Core","F",55.1690574278586
"Pre-prep","F",64.3452696404551
"Core","F",64.4829449014325
"Pre-prep","F",58.2352035919467
"Core","F",68.2234189333236
"Pre-prep","F",51.3519556568169
"Pre-prep","F",53.0375791979784
"Core","F",62.4571313976762
"Pre-prep","F",53.2903374266403
"Core","F",60.3199894103269
"Pre-prep","F",59.3086121480624
"Prep","F",62.3665524059343
"Core","F",70.5437470721053
"Core","F",63.5140855368196
"Core","F",58.6561499794987
"Core","F",68.0913285835872
"Pre-prep","F",61.9483547690493
"Pre-prep","F",66.3354832757362
"Core","F",63.2383104461881
"Pre-prep","F",56.2409363045869
"Pre-prep","F",58.77120560311
"Core","F",71.9624686940413
"Prep","F",69.2842443992021
"Core","F",65.0012926033525
"Core","F",52.9736923398761
"Core","F",61.5107355937319
"Pre-prep","F",57.8046148573436
"Pre-prep","F",58.4294391084995
"Prep","F",56.6186885964784
"Core","F",58.9758489676759
"Prep","F",68.0924864682471
"Pre-prep","F",67.3871474773283
"Prep","F",61.0022763573246
"Pre-prep","F",63.1777198824451
"Pre-prep","F",65.585056554275
"Pre-prep","F",55.1840612675712
"Core","F",56.2087211990306
"Pre-prep","F",53.9212040965155
"Prep","F",55.5763524448427
"Core","F",59.820927631336
"Core","F",54.2035141746661
"Core","F",53.5940134951703
"Prep","F",71.7757224245416
"Core","F",60.8401915115812
"Prep","F",60.8283162272866
"Pre-prep","F",70.7060858755971
"Core","F",63.5479787873416
"Core","F",59.5506085155547
"Prep","F",70.1612647171311
"Prep","F",55.4567389870299
"Core","F",64.9810970799623
"Prep","F",60.6805201434929
"Core","F",50.4541730057372
"Prep","F",56.0781720638571
"Core","F",56.7135356939105
"Prep","F",62.190172202672
"Core","F",58.0250892121971
"Prep","F",47.115758954709
"Core","F",65.539443999962
"Pre-prep","F",50.7249197101642
"Pre-prep","F",71.2746952261657
"Core","F",56.2697398037717
"Core","F",55.7249714507043
"Core","F",62.4007825952387
"Pre-prep","F",63.9824093225557
"Core","F",60.0238999507355
"Core","F",57.8483361779312
"Prep","F",65.0187548690118
"Core","F",62.4014551476797
"Core","F",55.2300525597443
"Core","F",65.2294978146122
"Prep","F",60.8554507306474
"Pre-prep","F",70.1633335610593
"Core","F",60.5613324814595
"Core","F",55.3586382543968
"Core","F",57.5891104287074
"Pre-prep","F",60.1321732086511
"Core","F",59.6919721891213
"Core","F",51.3874968628043
"Prep","F",53.7512637561411
"Core","F",59.9919661047807
"Pre-prep","F",61.326664286031
"Core","F",66.9470211464456
"Core","F",55.2738503493818
"Core","F",53.7186101668608
"Core","F",58.0755651080964
"Core","F",53.9033839486575
"Core","F",57.9484813347249
"Prep","F",55.7924838951626
"Core","F",64.0566624738812
"Core","F",53.2867213011402
"Prep","F",58.5966846516927
"Core","F",59.1220944187392
"Prep","F",61.981452056056
"Prep","F",59.483662117671
"Core","F",68.0204577845435
"Pre-prep","F",58.8275791366002
"Core","F",69.9708420556417
"Core","F",56.6233147101182
"Core","F",59.0022623882748
"Pre-prep","F",68.1681775910382
"Pre-prep","F",57.5342624246911
"Core","F",61.4926197875042
"Prep","F",59.2367617553071
"Pre-prep","F",58.5072933202125
"Pre-prep","F",54.0041862324987
"Core","F",62.6614267730813
"Core","F",61.3471571912188
"Prep","F",64.3174883419616
"Prep","F",64.4447320898856
"Core","F",59.2453863763869
"Core","F",60.3462820473379
"Core","F",62.9452433320074
"Core","F",56.2680425340013
"Pre-prep","F",58.6867243311361
"Prep","F",57.4345963938364
"Pre-prep","F",73.0598063015755
"Pre-prep","F",59.3607085725999
"Core","F",55.9513199042434
"Core","F",60.8748553931164
"Core","F",59.0715376540321
"Core","F",52.2920301115357
"Prep","F",59.2139303929472
"Core","F",50.091540232458
"Prep","F",68.0631342125662
"Prep","F",55.5039273255331
"Core","F",64.0481863852497
"Pre-prep","F",55.3289446542007
"Core","F",72.0243542338262
"Core","F",60.936233676165
"Prep","F",64.3621304091362
"Pre-prep","F",67.3437164562911
"Pre-prep","F",67.1328303896157
"Core","F",48.5882482965057
"Pre-prep","F",63.5041432654551
"Pre-prep","F",59.3361898240364
"Prep","F",59.7290880801857
"Core","F",53.9577132871746
"Pre-prep","F",54.3192222150786
"Pre-prep","F",63.6863362108142
"Pre-prep","F",68.2502363599556
"Core","F",69.9146924199065
"Core","F",61.2084172838005
"Pre-prep","F",50.1194282286498
"Pre-prep","F",66.2172901539222
"Pre-prep","F",59.3354754589007
"Core","F",65.7772439407896
"Pre-prep","F",58.935088276562
"Pre-prep","F",55.6163668685395
"Prep","F",56.4693077193507
"Prep","F",61.9055203520403
"Core","F",57.299440274535
"Prep","F",62.2136986975664
"Core","F",58.987142893735
"Core","F",64.6776379973639
"Core","F",64.7462514507042
"Pre-prep","F",61.664946372303
"Prep","F",67.0657066698263
"Prep","F",62.8436894231646
"Prep","F",59.1511042920021
"Core","F",65.0849437494621
"Core","F",59.5388009298428
"Core","F",64.140460750787
"Core","F",57.4107274352175
"Prep","F",54.5577403620957
"Core","F",62.3565646533998
"Core","F",57.7650735087595
"Core","F",56.050475778934
"Core","F",67.3109913260237
"Core","F",67.4101189764282
"Pre-prep","F",66.9993195325871
"Prep","F",65.6608272315161
"Core","F",62.5201100307601
"Prep","F",64.4954368282991
"Core","F",57.0904538939978
"Pre-prep","F",63.1231811317505
"Core","F",54.898539877525
"Prep","F",54.2561760721308
"Pre-prep","F",68.3041738885398
"Core","F",64.1403730555666
"Core","F",57.6960347320488
"Pre-prep","F",70.4221505242146
"Core","F",63.6572363706385
"Core","F",51.0273365672436
"Core","F",57.3407384738004
"Core","F",62.0367088398103
"Core","F",61.7086872061764
"Core","F",54.8359810370228
"Prep","F",57.8779357371063
"Prep","F",68.4927702401671
"Pre-prep","F",57.2665805783367
"Prep","F",69.1502600183754
"Core","F",57.7604836720886
"Pre-prep","F",54.1032462046871
"Pre-prep","F",59.6216811433693
"Prep","F",61.8528902346757
"Core","F",51.1521674888316
"Pre-prep","F",66.063810598461
"Core","F",62.2476618742454
"Prep","F",64.6435541631564
"Prep","F",49.0333871109472
"Core","F",66.0071120722969
"Pre-prep","F",64.8868046402962
"Pre-prep","F",59.3149101468503
"Core","F",60.0687116375062
"Core","F",53.7503755817211
"Core","F",56.3409276157915
"Core","F",66.7071990290567
"Prep","F",57.874115259652
"Core","F",54.1074821269155
"Prep","F",62.2905414526663
"Core","F",54.2408553341965
"Prep","F",60.5350070696002
"Core","F",55.9177104070488
"Prep","F",62.2839886154582
"Pre-prep","F",58.1961127094607
"Pre-prep","F",66.672027170798
"Prep","F",57.4533709356887
"Prep","F",58.7316401011424
"Core","F",58.1549132776904
"Pre-prep","F",59.1941420848604
"Core","F",68.3696765138233
"Prep","F",54.1313344710982
"Core","F",59.2103494096182
"Prep","F",59.8965277583002
"Core","F",57.1952384111165
"Core","F",60.0861577873658
"Prep","F",59.2488207537432
"Core","F",60.7546301542364
"Core","F",54.0567188624913
"Core","F",65.0178083890369
"Pre-prep","F",52.0887648490774
"Pre-prep","F",59.1623405182525
"Prep","F",61.5175037440701
"Core","F",65.3525977389224
"Prep","F",57.8758426806635
"Prep","F",51.235033507974
"Core","F",65.5310282364682
"Prep","F",54.1980764611991
"Prep","F",61.1999556309533
"Prep","F",52.9535088574199
"Core","F",65.5184044725204
"Core","F",63.3581103772862
"Pre-prep","F",52.2290588568368
"Core","F",71.7206583757055
"Prep","F",59.9530949032241
"Core","F",57.5548281553359
"Core","F",59.9751567700318
"Prep","F",65.7117582982169
"Pre-prep","F",53.500780580318
"Pre-prep","F",58.0422050196687
"Pre-prep","F",66.8609240339337
"Pre-prep","F",64.3679295287291
"Prep","F",61.3748375679656
"Core","F",60.6600392052008
"Core","F",57.1049593929503
"Pre-prep","F",62.7700697589641
"Prep","F",55.7961129450411
"Prep","F",64.1523427769038
"Pre-prep","F",66.531433640404
"Core","F",63.9548550048028
"Core","F",61.7185588616826
"Core","F",55.8320729378636
"Core","F",59.2616104764927
"Core","F",66.7408876895557
"Pre-prep","F",57.712369580292
"Core","F",61.1430370403248
"Core","F",56.0930334362906
"Core","F",51.1776682706244
"Core","F",62.5692174781122
"Core","F",65.0013801115581
"Core","F",60.1595350124914
"Core","F",62.3709147448639
"Core","F",61.5403929558302
"Core","F",71.7533609093494
"Pre-prep","F",60.1648474410082
"Prep","F",59.4236164494252
"Prep","F",57.6335046305036
"Core","F",60.5075117822932
"Prep","F",52.9049454668359
"Prep","F",60.0964534500556
"Core","F",44.1015646712079
"Core","F",59.1802389580368
"Prep","F",64.9386092316947
"Core","F",60.3526789684917
"Prep","F",64.6546868761924
"Core","F",64.4381494067136
"Pre-prep","F",57.6474567361253
"Pre-prep","F",62.5485894756956
"Pre-prep","F",64.5081781115485
"Core","F",65.9728076274166
"Core","F",64.6504887622813
"Core","F",62.3799307475063
"Pre-prep","F",53.5630817361116
"Core","F",60.0552632557585
"Core","F",53.2435741500912
"Core","F",67.9459564281894
"Prep","F",53.8353443609209
"Pre-prep","F",60.5630191201689
"Pre-prep","F",62.7181167381492
"Core","F",62.3368225346601
"Core","F",56.4421833751364
"Prep","F",61.5398012408795
"Core","F",64.7806151087957
"Prep","F",63.727386390972
"Prep","F",61.3667492061901
"Core","F",60.6724036427088
"Core","F",55.436522949537
"Core","F",52.3642142250684
"Pre-prep","F",49.9403553605874
"Prep","F",66.0525525858209
"Prep","F",66.285924802786
"Core","F",59.1689883962473
"Prep","F",54.5817211808936
"Prep","F",59.9079706206238
"Core","F",60.3950937131366
"Core","F",55.4288227563769
"Core","F",61.8872158392427
"Pre-prep","F",64.7777313684275
"Core","F",56.3567181165498
"Pre-prep","F",57.9245877972921
"Prep","F",58.0857772649141
"Pre-prep","F",59.2008134155775
"Core","F",58.3687242472784
"Core","F",55.3261936873259
"Prep","F",61.0487403509759
"Prep","F",63.5168825104991
"Core","F",56.1487548364416
"Core","F",62.945998353469
"Pre-prep","F",58.4745013449578
"Prep","F",59.995547368954
"Prep","F",53.7958201368672
"Core","F",50.7228151188842
"Core","F",50.9499318773021
"Core","F",49.9808816719552
"Core","F",60.6599713687802
"Core","F",58.3889684206231
"Core","F",69.5878640446166
"Core","F",58.3099948338959
"Core","F",70.763181663743
"Core","F",58.831584403485
"Pre-prep","F",62.4274624031656
"Pre-prep","F",60.7402540499241
"Core","F",58.7913805248375
"Core","F",62.2557613211516
"Core","F",50.1560526212863
"Core","F",53.5370565476782
"Prep","F",57.9642547422029
"Prep","F",63.0097847994252
"Prep","F",66.0447486189949
"Prep","F",59.7232852245923
"Core","F",65.6806331487222
"Pre-prep","F",63.4463092097387
"Core","F",65.7801333594844
"Core","F",53.8168460458905
"Pre-prep","F",50.8214238802784
"Prep","F",54.2667451603029
"Pre-prep","F",54.1858350509495
"Prep","F",59.152569479239
"Pre-prep","F",67.9719583893425
"Pre-prep","F",56.2269400014239
"Core","F",52.535823172484
"Core","F",55.128150637984
"Core","F",64.133078132075
"Prep","F",58.8234601446336
"Pre-prep","F",60.8966146130067
"Core","F",56.0512100579266
"Pre-prep","F",50.9941437100981
"Core","F",67.5660384084036
"Core","F",59.4496738154882
"Pre-prep","F",60.1027983385293
"Prep","F",54.7079270257625
"Core","F",58.7093957062409
"Core","F",68.5458787811498
"Prep","F",55.4224540761839
"Core","F",56.1595292666032
"Core","F",62.280179343819
"Prep","F",55.9476628751957
"Core","F",61.1230074132647
"Core","F",59.08075804513
"Core","F",65.2973213770233
"Pre-prep","F",53.7704267078806
"Core","F",55.3590364622726
"Core","F",63.6597219057538
"Pre-prep","F",67.2298376787967
"Core","F",59.1748754908112
"Core","F",63.909291707218
"Core","F",54.0941571641188
"Core","F",59.1632298020163
"Core","F",62.5179714673007
"Pre-prep","F",65.5646071386933
"Pre-prep","F",55.7528598267143
"Prep","F",65.5690625065558
"Core","F",61.5659053298598
"Prep","F",58.864424164901
"Pre-prep","F",69.0680848458473
"Prep","F",62.0084339060841
"Core","F",63.8460361917029
"Prep","F",64.0321898831811
"Core","F",68.9825658921305
"Core","F",60.6927123830515
"Core","F",71.1726097880448
"Prep","F",70.3629499785136
"Pre-prep","F",60.9558906515227
"Core","F",65.7522596661865
"Core","F",53.2790541886774
"Core","F",60.8635302645699
"Pre-prep","F",64.3202716675611
"Core","F",53.6903957805819
"Core","F",55.05234354728
"Core","F",53.6508479793318
"Core","F",56.0947748947696
"Prep","F",67.0723466894675
"Prep","F",63.6512928034873
"Pre-prep","F",50.8823566964279
"Pre-prep","F",59.5375789602149
"Core","F",60.6533348710999
"Pre-prep","F",54.8460271223502
"Prep","F",63.5767924798722
"Core","F",63.3029331992512
"Pre-prep","F",54.610121252385
"Pre-prep","F",64.2413701453274
"Core","F",56.343727118968
"Core","F",56.9709332188242
"Pre-prep","F",65.4379978361466
"Core","F",59.0542085426177
"Core","F",54.6149953792251
"Prep","F",68.0976802867682
"Prep","F",53.6007314350516
"Prep","F",60.3040601501841
"Pre-prep","F",51.465946334473
"Pre-prep","F",48.3713914910713
"Core","F",51.5957308284969
"Prep","F",69.7834755442379
"Core","F",62.2748079635307
"Prep","F",55.7922580862673
"Prep","F",59.4946005091852
"Pre-prep","F",66.4247717166643
"Prep","F",65.3301230545652
"Pre-prep","F",59.6575237233903
"Pre-prep","F",54.5495868647334
"Pre-prep","F",51.2910113900465
"Prep","F",62.112660127976
"Core","F",56.4043491883496
"Pre-prep","F",61.9220842180968
"Core","F",59.0318027511142
"Core","F",56.9289533024184
"Pre-prep","F",63.5025084966684
"Core","F",60.2436373167162
"Core","F",63.7924322861217
"Core","F",66.7500701791669
"Core","F",52.4537675305979
"Prep","F",47.9627267495328
"Pre-prep","F",65.9143935471652
"Core","F",59.044337742652
"Core","F",56.3811931276804
"Core","F",62.8639000990438
"Pre-prep","F",60.5149538999079
"Core","F",52.7953215391194
"Core","F",61.7299196943817
"Pre-prep","F",59.2941377609307
"Prep","F",61.0741992684679
"Core","F",67.4267189346341
"Pre-prep","F",68.018899871961
"Core","F",61.971433864442
"Core","F",64.5982545772355
"Pre-prep","F",64.1702708098938
"Pre-prep","F",65.64221984309
"Core","F",60.0306739830919
"Prep","F",61.6902376768597
"Core","F",61.2045796726446
"Prep","F",54.4715433366171
"Pre-prep","F",61.176771731272
"Pre-prep","F",57.8732980056642
"Core","F",61.9741382248871
"Core","F",58.9651669854856
"Core","F",59.1256323228383
"Prep","F",64.9597075281105
"Prep","F",59.2954263995806
"Prep","F",59.245540427763
"Pre-prep","F",57.8884023275697
"Core","F",68.0533433048648
"Prep","F",60.4591100952994
"Core","F",55.4424749289645
"Core","F",65.2999045976133
"Prep","F",64.8097431401208
"Core","F",62.6819847793209
"Pre-prep","F",51.0150585794748
"Core","F",66.9693510877822
"Prep","F",61.0145649120168
"Core","F",65.4451900772
"Prep","F",61.6235617378109
"Core","F",64.6972516092423
"Core","F",62.8156214071664
